name,volume,wall_thickness,manifold,positive_volume,no_intersections,thick_walls
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Bathtub_U-Boat_with_mods/NetCutter_Frame_FWD_Lrg.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Bathtub_U-Boat_with_mods/Conning_Tower_V2_Modified.stl,,,False,True,False,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Bathtub_U-Boat_with_mods/U-Boat_0-Gun_Complete_Mod.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/SAR_-_Search_&_Rescue/wave_border.stl,,0.09005437928582,True,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/SAR_-_Search_&_Rescue/orange.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/SAR_-_Search_&_Rescue/white.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Bathtub_Wine_Holder_V2/Držák_skleničky_do_vany_v11.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Dollhouse_Bathroom_Set_112/washstand_updated.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Bathtub_U-boat_Type_G7a_scale_size_torpedo/torpedo-2.stl,,0.050381853575788484,False,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Bathtub_U-boat_Type_G7a_scale_size_torpedo/torpedo-1.stl,,0.04677884902733817,False,True,True,False
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Dollhouse_bathroom_set/Toilet.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Dollhouse_bathroom_set/Toilet_lid.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Dollhouse_bathroom_set/Toilet_seat.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Dollhouse_bathroom_set/Sink.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Dollhouse_bathroom_set/Cabinet.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Dollhouse_bathroom_set/Bathtub_two_faucets.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Dollhouse_bathroom_set/Bathtub_one_faucet.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Dollhouse_bathroom_set/Cabinet_no_counter.stl,,,False,True,True,True
/data/csc4801/KedzioraLab/thingiverse/bathtub/stls/Dolls'_House/furniture3.stl,,,False,True,True,True
